ID,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
1385,2008,0.11,0,0,0.01,0.11,67,14,8.4,28
5859,2008,0.11,0,0,0.01,0.12,49,26,6,11
2111,2008,0.11,0,0,0.01,0.12,53,19,8.1,14
5203,2008,0.11,0,0,0.01,0.13,45,13,6.6,17
2360,2008,0.11,0,0,0.01,0.12,55,24,8,20
1865,2009,0.11,0,0,0.01,0.12,84,17,8.2,21
1597,2009,0.11,0,0,0.01,0.12,83,18,8.3,16
7163,2009,0.11,0,0,0.03,0.14,50,4,2.3,6
2626,2010,0.11,0,0,0.01,0.12,86,27,7.9,32
7177,2010,0.11,0,0,0.01,0.12,36,20,2.1,17
4915,2011,0.11,0,0,0.01,0.12,66,5,6.8,8
6957,2005,0.12,0,0,0.01,0.13,51,17,3.7,7
4226,2005,0.12,0,0,0.01,0.13,54,26,7.2,22
7117,2005,0.12,0,0,0.01,0.14,65,17,2.8,17
7051,2005,0.12,0,0,0.01,0.13,28,5,3.2,32
5061,2006,0.12,0,0,0.01,0.14,46,11,6.7,16
4756,2006,0.12,0,0,0.01,0.13,68,13,6.9,8
6192,2006,0.12,0,0,0.01,0.13,48,11,5.6,17
5857,2007,0.12,0,0,0.01,0.13,63,37,6,4
5545,2007,0.12,0,0,0.01,0.13,41,5,6.3,4
5063,2007,0.12,0,0,0.01,0.13,47,10,6.7,7
6839,2007,0.12,0,0,0.01,0.13,61,30,4.2,19
5313,2008,0.12,0,0,0.01,0.14,54,23,6.5,4
6005,2008,0.12,0,0,0.26,0.38,56,4,5.8,6
1593,2008,0.12,0,0,0.01,0.13,80,40,8.3,21
1594,2008,0.12,0,0,0.01,0.13,73,11,8.3,17
7194,2008,0.12,0,0,0.01,0.13,39,6,1.8,10
6647,2009,0.12,0,0,0.01,0.13,36,8,4.8,4
5546,2009,0.12,0,0,0.01,0.13,64,12,6.3,4
3380,2009,0.12,0,0,0.01,0.13,80,18,7.6,16
4227,2009,0.12,0,0,0.01,0.13,60,4,7.2,21
3808,2004,0.13,0,0,0.01,0.14,64,21,7.4,7
2617,2004,0.13,0,0,0.01,0.15,74,27,7.9,25
4910,2005,0.13,0,0,0.01,0.14,65,22,6.8,4
